filename	status	role	genome_build	source_repository	source_accession	source_url	source_filename	processing	used_by	notes
WGBS_colon-primary-normal_1_meth.bed.gz	required_input	Healthy colon WGBS replicate 1	hg38	MethyLasso data host; NCBI GEO	GSM1204466	https://g-948214.d2cf88.03c0.data.globus.org/input_files/WGBS_colon-primary-normal_1_meth.bed.gz	WGBS_colon-primary-normal_1_meth.bed.gz	Downloaded without renaming	Region-calling and synthetic benchmarks	The current download is linked from the MethyLasso repository.
WGBS_colon-primary-normal_2_meth.bed.gz	required_input	Healthy colon WGBS replicate 2	hg38	MethyLasso data host; NCBI GEO	GSM1204466	https://g-948214.d2cf88.03c0.data.globus.org/input_files/WGBS_colon-primary-normal_2_meth.bed.gz	WGBS_colon-primary-normal_2_meth.bed.gz	Downloaded without renaming	Region-calling benchmark	The current download is linked from the MethyLasso repository.
WGBS_colon-primary-normal_3_meth.bed.gz	required_input	Healthy colon WGBS replicate 3	hg38	MethyLasso data host; NCBI GEO	GSM1204466	https://g-948214.d2cf88.03c0.data.globus.org/input_files/WGBS_colon-primary-normal_3_meth.bed.gz	WGBS_colon-primary-normal_3_meth.bed.gz	Downloaded without renaming	Region-calling benchmark	The current download is linked from the MethyLasso repository.
WGBS_colon-primary-tumor_1_meth.bed.gz	required_input	Colon cancer WGBS replicate 1	hg38	MethyLasso data host; NCBI GEO	GSM1204465	https://g-948214.d2cf88.03c0.data.globus.org/input_files/WGBS_colon-primary-tumor_1_meth.bed.gz	WGBS_colon-primary-tumor_1_meth.bed.gz	Downloaded without renaming	Region-calling benchmark	The current download is linked from the MethyLasso repository.
WGBS_colon-primary-tumor_2_meth.bed.gz	required_input	Colon cancer WGBS replicate 2	hg38	MethyLasso data host; NCBI GEO	GSM1204465	https://g-948214.d2cf88.03c0.data.globus.org/input_files/WGBS_colon-primary-tumor_2_meth.bed.gz	WGBS_colon-primary-tumor_2_meth.bed.gz	Downloaded without renaming	Region-calling benchmark	The current download is linked from the MethyLasso repository.
WGBS_colon-primary-tumor_3_meth.bed.gz	required_input	Colon cancer WGBS replicate 3	hg38	MethyLasso data host; NCBI GEO	GSM1204465	https://g-948214.d2cf88.03c0.data.globus.org/input_files/WGBS_colon-primary-tumor_3_meth.bed.gz	WGBS_colon-primary-tumor_3_meth.bed.gz	Downloaded without renaming	Region-calling benchmark	The current download is linked from the MethyLasso repository.
ESO26.wgbs.bed.gz	required_input	ESO26 esophageal cancer WGBS	hg38	NCBI GEO	GSE210220; GSM6423670	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6423670	GSM6423670_ESO26.all.cov5.sorted.rmblackList.bed.gz	Renamed locally	Region-calling benchmark	Exact processed supplementary file remains available from GEO.
TE5.wgbs.bed.gz	required_input	TE5 esophageal cancer WGBS	hg38	NCBI GEO	GSE210220; GSM6423671	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM6423671	GSM6423671_TE5.all.cov5.sorted.rmblackList.bed.gz	Renamed locally	Region-calling benchmark	Exact processed supplementary file remains available from GEO.
GSM5652176_Adipocytes-Z000000T7.beta	required_input	Adipocyte healthy-reference WGBS methylation	hg19	NCBI GEO	GSE186458; GSM5652176	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652176	GSM5652176_Adipocytes-Z000000T7.beta	Downloaded without renaming	Region-calling and synthetic benchmarks	hg38 beta file was not staged because it was not available in this analysis copy.
GSM5652250_Pancreas-Beta-Z00000452.beta	required_input	Pancreatic beta-cell healthy-reference WGBS methylation	hg19	NCBI GEO	GSE186458; GSM5652250	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM5652250	GSM5652250_Pancreas-Beta-Z00000452.beta	Downloaded without renaming	Region-calling and synthetic benchmarks	Processed methylation-atlas beta file.
