filename	status	role	genome_build	source_repository	source_accession	source_url	source_filename	processing	used_by	notes
GSM983649_UCSD.Esophagus.Bisulfite-Seq.STL003.wig.gz	required_input	Healthy esophagus WGBS reference	hg19	NCBI GEO	GSE16256; GSM983649	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM983649	GSM983649_UCSD.Esophagus.Bisulfite-Seq.STL003.wig.gz	Downloaded without renaming	Healthy esophagus reference analyses	GEO identifies this as processed methylation proportions for normal esophagus tissue.
LAD_intervals.bed	required_input	Tig3 laminB1 lamina-associated domains	hg19	UCSC Genome Browser; Guelen et al. 2008	GSE8854; DOI 10.1038/nature06947	https://hgdownload.soe.ucsc.edu/goldenPath/hg19/database/laminB1Lads.txt.gz	laminB1Lads.txt.gz	Selected chromosome/start/end columns and added a laminB1Lads label	LAD analysis	UCSC hg19 track lifted from the original hg18 LAD calls.
laminB1_signal.bedGraph	required_input	Tig3 laminB1 DamID signal	hg19	UCSC Genome Browser; Guelen et al. 2008	GSE8854; DOI 10.1038/nature06947	https://hgdownload.soe.ucsc.edu/goldenPath/hg19/database/laminB1.txt.gz	laminB1.txt.gz	Selected chromosome/start/end and log2-ratio signal columns	LAD analysis	Source coordinates and initial values match the UCSC NKI LaminB1 track.
hg19.chrom.sizes	required_reference	Chromosome sizes	hg19	UCSC Genome Browser	hg19	https://hgdownload.soe.ucsc.edu/goldenPath/hg19/bigZips/hg19.chrom.sizes	hg19.chrom.sizes	Downloaded reference table	Synthetic and LAD analyses	Small public reference file.
hg38.chrom.sizes	required_reference	Chromosome sizes	hg38	UCSC Genome Browser	hg38	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.chrom.sizes	hg38.chrom.sizes	Downloaded reference table	Region-calling, TCGA, chromatin, and LAD analyses	Small public reference file.
hg19ToHg38.over.chain	required_reference	hg19-to-hg38 liftOver chain	hg19 to hg38	UCSC Genome Browser	hg19ToHg38	https://hgdownload.soe.ucsc.edu/goldenPath/hg19/liftOver/hg19ToHg38.over.chain.gz	hg19ToHg38.over.chain.gz	Decompressed after download	HM450K probe and LAD liftOver	Small public reference file.
cgi.bed	required_reference	CpG-island intervals	hg38	UCSC Genome Browser	hg38 cpgIslandExt	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/database/cpgIslandExt.txt.gz	cpgIslandExt.txt.gz	Project-selected BED columns and labels	TCGA classification comparator regions	The project copy contains 32038 intervals; its exact historical filtering command is not recorded.
centromere.bed	required_reference	Centromeric intervals	hg38	UCSC Genome Browser	hg38 centromeres	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/database/centromeres.txt.gz	centromeres.txt.gz	Project-selected BED columns	TCGA random-region exclusions	The project copy contains 109 intervals; its exact historical filtering command is not recorded.
gap.bed	required_reference	Assembly gap and telomere intervals	hg38	UCSC Genome Browser	hg38 gap	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/database/gap.txt.gz	gap.txt.gz	Downloaded UCSC table	TCGA random-region exclusions	The workflow selects telomere rows from this table.
parse450K.pl.order.lookup.gz	required_distributed_reference	Compressed HM450K probe annotation lookup	hg38	Project-derived from HM450.hg38.manifest.gencode.v36.tsv.gz	Gencode v36; HM450K	not_applicable	HM450.hg38.manifest.gencode.v36.tsv.gz	Keyed probe lookup derived from the source manifest and distributed with gzip compression	Region-calling and TCGA workflows	Decompress in place to parse450K.pl.order.lookup before running; the uncompressed lookup contains 485578 probes.
runAll.sh.samples	required_derived_metadata	TCGA sample and local-file manifest	not applicable	Project-derived from NCI GDC metadata	TCGA	https://portal.gdc.cancer.gov/	Five cohort-group processed-sample tables	Concatenated from the five cohort-group tables	TCGA segmentation and classification	Contains 9714 samples and absolute historical paths; the exact 5892 analyzed subset is data/tcga_samples/analyzed_tcga_samples.tsv.
