CpG_chrm	CpG_beg	CpG_end	beta
chr1	69590.0	69592.0	0.4
chr1	788863.0	788865.0	0.57
chr1	800082.0	800084.0	0.66
chr1	805351.0	805353.0	0.69
chr1	812538.0	812540.0	0.48
chr1	812678.0	812680.0	0.35
chr1	812759.0	812761.0	0.63
chr1	813316.0	813318.0	0.54
chr1	833554.0	833556.0	0.61
chr1	834182.0	834184.0	0.45
chr1	834355.0	834357.0	0.82
chr1	837535.0	837537.0	0.41
chr1	838378.0	838380.0	0.01
chr1	838485.0	838487.0	0.03
chr1	838730.0	838732.0	0.67
chr1	839434.0	839436.0	0.47
chr1	839751.0	839753.0	0.68
chr1	843490.0	843492.0	0.44
chr1	843580.0	843582.0	0.49
chr1	844498.0	844500.0	0.57
chr1	845277.0	845279.0	0.53
chr1	845310.0	845312.0	0.34
chr1	845809.0	845811.0	0.3
chr1	846154.0	846156.0	0.58
chr1	846194.0	846196.0	0.08
chr1	846506.0	846508.0	0.31
chr1	846741.0	846743.0	0.63
chr1	847815.0	847817.0	0.49
chr1	848378.0	848380.0	0.47
chr1	848408.0	848410.0	0.6
chr1	848439.0	848441.0	0.49
chr1	848608.0	848610.0	0.65
chr1	849539.0	849541.0	0.7
chr1	853875.0	853877.0	0.51
chr1	853924.0	853926.0	0.44
chr1	854765.0	854767.0	0.56
chr1	854823.0	854825.0	0.56
chr1	854837.0	854839.0	0.56
chr1	854917.0	854919.0	0.57
chr1	854950.0	854952.0	0.43
chr1	854965.0	854967.0	0.43
chr1	855045.0	855047.0	0.28
chr1	855424.0	855426.0	0.01
chr1	855444.0	855446.0	0.06
chr1	855543.0	855545.0	0.48
chr1	855648.0	855650.0	0.58
chr1	856058.0	856060.0	0.85
chr1	856684.0	856686.0	0.01
chr1	856692.0	856694.0	0.02
chr1	856913.0	856915.0	0.03
chr1	857656.0	857658.0	0.04
chr1	858361.0	858363.0	0.26
chr1	859172.0	859174.0	0.09
chr1	859718.0	859720.0	0.06
chr1	859843.0	859845.0	0.06
chr1	860007.0	860009.0	0.04
chr1	860021.0	860023.0	0.02
chr1	860184.0	860186.0	0.02
chr1	860612.0	860614.0	0.47
chr1	860620.0	860622.0	0.41
chr1	860964.0	860966.0	0.7
chr1	861176.0	861178.0	0.51
chr1	861264.0	861266.0	0.75
chr1	861628.0	861630.0	0.47
